gold_emotion,pred_emotion,count
Anger,Sadness,37
Anger,Disgust,8
Anger,Fear,36
Anger,Guilt,24
Anger,Shame,1
Disgust,Sadness,35
Disgust,Guilt,21
Disgust,Joy,3
Disgust,Fear,36
Disgust,Anger,10
Disgust,Shame,3
Fear,Joy,3
Fear,Guilt,14
Fear,Sadness,12
Fear,Anger,5
Fear,Shame,2
Fear,Disgust,1
Guilt,Sadness,19
Guilt,Anger,1
Guilt,Fear,10
Guilt,Shame,6
Guilt,Joy,4
Joy,Sadness,25
Joy,Anger,1
Joy,Fear,9
Joy,Guilt,7
Joy,Disgust,3
Joy,Shame,1
Sadness,Fear,19
Sadness,Guilt,14
Sadness,Anger,2
Sadness,Disgust,5
Sadness,Joy,1
Shame,Guilt,66
Shame,Fear,26
Shame,Sadness,22
Shame,Joy,1
Shame,Anger,5
Shame,Disgust,1
Shame,Surprise,1
