gold_emotion,pred_emotion,count
Anger,Sadness,60
Anger,Fear,30
Anger,Guilt,16
Anger,Shame,1
Anger,Joy,1
Disgust,Joy,10
Disgust,Guilt,16
Disgust,Anger,11
Disgust,Sadness,50
Disgust,Fear,33
Disgust,Shame,1
Fear,Sadness,12
Fear,Guilt,26
Fear,Joy,4
Fear,Shame,1
Fear,Disgust,1
Fear,Anger,3
Guilt,Sadness,24
Guilt,Joy,8
Guilt,Anger,2
Guilt,Fear,7
Guilt,Shame,2
Joy,Sadness,23
Joy,Fear,7
Joy,Guilt,16
Joy,Anger,3
Joy,Pride,2
Sadness,Anger,5
Sadness,Guilt,12
Sadness,Fear,8
Sadness,Shame,1
Sadness,Joy,3
Sadness,Disgust,2
Shame,Anger,6
Shame,Sadness,34
Shame,Fear,20
Shame,Joy,4
Shame,Guilt,65
